Time[s],Speed[m/s],X[m],Z[m],Y[m]
299.0754809,3.204187006,75.28817845,48.06956679,-3.355904939
299.9845872,3.106885557,72.49624423,47.43575571,-3.381490307
300.4869969,3.062254414,71.68264383,47.23560484,-3.39599652
300.9913735,3.023392834,69.90128838,46.64627173,-3.410789933
301.9952791,2.959009198,67.22925815,45.36753007,-3.440793696
302.9871082,2.901997768,64.75420572,43.94423501,-3.47085247
303.984504,2.839476093,62.24489613,42.43198401,-3.501013381
304.9863544,2.765260259,59.77840461,41.19772032,-3.530642459
305.9881916,2.681973882,57.39755083,40.48607279,-3.558987652
306.9904656,2.598932931,54.9567446,40.09689055,-3.585542506
307.9949782,2.526653088,52.77287288,38.61799802,-3.609976599
309.0184116,2.468876817,50.82878827,38.79590991,-3.63235368
310.0211821,2.420105194,48.78192697,39.89673968,-3.651543734
310.9836059,2.361713427,46.96629765,41.50906612,-3.667090613
312.1014109,2.247002151,45.60457101,43.58841124,-3.681129678
313.1120954,2.0737629,44.81664816,45.80119028,-3.689819422
314.1012487,1.833532394,44.3370401,47.68038454,-3.694740396
314.9873044,1.574409013,43.98589627,49.47062286,-3.696605577
315.9883406,1.274315541,43.80604239,50.34906278,-3.696655905
316.9811313,1.032776884,43.8488631,50.42689923,-3.695422978
317.9929528,0.917422986,44.08009607,50.64928909,-3.693411332
317.9999969,0.917183128,44.11435325,50.60481112,-3.693395046
318.9909742,0.99238998,43.89167842,51.44989256,-3.690603044
320.0579257,1.312676511,43.55766666,52.65079777,-3.685675494
321.0437863,1.819648784,42.88964498,54.77462086,-3.677324478
321.9929924,2.458427553,41.47653351,57.39882113,-3.662506789
322.9849136,3.217838069,39.36115539,60.3232477,-3.634341154
323.9918156,4.002590502,37.6911133,64.23730912,-3.58404186
325.085279,4.774562873,35.96111694,69.54130712,-3.492056276
326.173147,5.376077742,27.80797804,72.63252608,-3.348429678
327.0440111,5.700700622,22.04426053,74.94538056,-3.189347079
327.9977748,5.883626849,15.26140704,77.01360619,-2.969703009
329.0143545,5.891507265,8.941023657,79.32646067,-2.690340777
329.9899118,5.753750809,3.237266465,81.03886254,-2.391543125
330.9771392,5.523584628,-2.278075798,83.0737297,-2.074839855
331.9841039,5.259470944,-5.678060271,84.20791795,-1.752010073
333.0020807,5.024588594,-11.24478211,86.88771568,-1.436550332
334.0377793,4.864595312,-15.81806282,85.43106214,-1.132313588
335.0201788,4.801559369,-20.40847702,82.70678644,-0.860952706
336.009198,4.813597348,-26.55757524,80.9387871,-0.60532195
337.0333824,4.872909984,-31.39635187,79.64892596,-0.361013299
338.0079246,4.936194959,-35.74697677,77.05808416,-0.151136535
339.0136793,4.977979611,-40.17468116,74.71187121,0.038260072
339.9983828,4.984099364,-45.33034457,72.57692862,0.193771569
341.0240238,4.963749584,-49.38979569,69.8860114,0.323070367
341.9951875,4.943986089,-52.67847898,65.96083049,0.415949057
343.0157878,4.953065131,-52.926873,61.33512154,0.485587554
344.0068223,5.01200914,-50.80297534,56.9985194,0.529418887
345.0029306,5.125496196,-48.1052742,52.30609349,0.553568828
346.0139768,5.282718528,-45.10781824,48.18076172,0.561398915
347.0128033,5.453368438,-41.69071284,43.78856211,0.556551573
348.0102601,5.608570727,-38.84740746,39.47419896,0.543614752
349.1341395,5.732886238,-35.7557391,34.42594929,0.525353752
350.1569405,5.782911424,-33.12653691,29.26650469,0.510833427
351.1381423,5.775227083,-30.65148739,24.22937452,0.50289283
352.1576555,5.725642674,-26.75476572,19.41463419,0.503630051
353.1668131,5.661147679,-23.09783703,15.17810749,0.514735305
354.0929585,5.613326516,-19.53511013,11.41971897,0.534205701
355.0382512,5.595385253,-15.74114608,6.749532047,0.562813447
356.115453,5.625181472,-12.19554183,1.990389187,0.605131119
357.0194445,5.689778246,-9.566311079,-1.823596797,0.647336149
358.1538236,5.804796347,-7.031284991,-5.682060751,0.706236981
359.1321423,5.91342329,-4.376357076,-11.09725368,0.758746245
360.1380844,6.016321467,-1.156181578,-18.66962818,0.809372223
361.1391938,6.10265837,2.372315093,-24.44064488,0.850223582
362.125103,6.175939634,6.414675094,-28.75500803,0.87438618
363.1286459,6.248507051,9.686253043,-35.11535783,0.875537925
364.1272418,6.324946313,13.20619949,-39.97457613,0.846644137
365.1333017,6.399351365,16.79466438,-44.51132914,0.781968727
366.1145818,6.446144843,20.29749284,-50.09331445,0.682078012
367.1160541,6.430853713,23.87740542,-55.64194129,0.54461041
368.0974677,6.317438473,27.19182799,-61.14609016,0.382509715
369.1091769,6.075654792,29.35863198,-66.93934584,0.200166939
370.1455092,5.706334213,32.14207528,-73.09954478,0.013720182
371.1399715,5.2856535,34.71998038,-79.78235987,-0.151590905
372.1513414,4.875939736,36.46713854,-85.15307482,-0.298554056
373.137048,4.590273807,38.5654337,-89.45631849,-0.420228217
373.9959829,4.498329411,41.21184387,-92.19171368,-0.511133432
374.9949923,4.620667427,45.69959914,-94.71583852,-0.603182936
376.0089204,4.995244007,51.50625541,-94.42673171,-0.68455266
377.0137138,5.559777748,57.17588255,-94.34889526,-0.754317315
378.0107851,6.217135999,64.07877047,-92.88112223,-0.813103576
379.0077367,6.867943995,71.60684631,-90.35699739,-0.864299641
379.9907024,7.418394836,78.99787769,-86.92107416,-0.915809825
380.9922583,7.833221878,86.13197394,-83.74089926,-0.983640108
382.0174685,8.0905519,92.93203854,-79.31534118,-1.084804363
383.0383234,8.198384906,100.3487332,-75.13441193,-1.226618149
384.0535781,8.197589366,107.1830443,-71.05355813,-1.40678972
385.0841882,8.129536712,114.9508451,-65.73844063,-1.619019337
386.1945221,8.020503643,122.6501312,-61.10161219,-1.864054144
387.1503816,7.917429915,129.1332637,-56.07560151,-2.075985564
388.0194564,7.822906237,134.974045,-50.08219496,-2.26217859
389.0157523,7.712650884,138.2711832,-42.63213488,-2.462619013
390.0202515,7.591896202,138.9733226,-35.10423834,-2.646948794
391.0117736,7.452054742,137.1061739,-28.05447999,-2.808971353
392.0098293,7.280029717,133.997214,-21.60517425,-2.950323403
392.9983962,7.073492035,130.5542563,-15.44497531,-3.067651092
394.0199821,6.825095461,126.4604333,-10.24105274,-3.164769988
395.0238447,6.557580023,122.6834997,-5.359595464,-3.237119482
396.0340908,6.281143957,118.7695429,-0.511496663,-3.288974522
397.0675275,6.007824693,115.1210841,4.314363154,-3.323673806
398.0708849,5.763649534,111.5497059,9.30701536,-3.343540791
399.0318215,5.554577335,108.4151112,14.23295061,-3.353512388
399.9964633,5.369045797,105.3747303,18.9476155,-3.358017179
401.0111649,5.196576988,102.5313357,23.31757612,-3.360136752
401.9940636,5.046044326,99.38820155,27.20939855,-3.362462408
403.012888,4.900172182,95.97957362,31.51264221,-3.36760649
403.7869966,4.791550729,94.70347829,33.28064154,-3.374557094
403.992017,4.762623145,93.30749135,34.44818827,-3.376930546
405.0116646,4.615179129,89.95883026,37.85075303,-3.392426269
405.9981027,4.463923784,86.12201063,41.2310788,-3.413583445
406.9986825,4.301126478,82.225251,44.02207146,-3.441193767
408.0055509,4.131814532,78.39702077,45.56768094,-3.474675115
409.0019965,3.966609555,74.44034298,45.6232784,-3.512553766
410.0319653,3.807929106,71.12599942,43.89975704,-3.555578047
410.5049968,3.741424729,70.35522315,43.33266291,-3.576340311
411.0006905,3.676827595,68.36833098,42.06504075,-3.598620147
412.0178666,3.560845331,65.23383719,39.91897866,-3.645553122
413.0610824,3.461277343,62.15928635,38.39560817,-3.694506482
414.0375633,3.377253541,59.1361154,37.4393318,-3.740099158
414.9854617,3.29385523,56.19858332,36.87223768,-3.783163737
415.9775691,3.194688327,53.27817831,36.44969695,-3.825857913
416.9787064,3.076459621,50.51192592,36.56089188,-3.865301952
417.9778035,2.941615791,47.91694745,38.45120563,-3.899984563
418.9775622,2.798974715,45.91289813,41.15324235,-3.929282269
419.9778371,2.662825456,44.50834447,44.27781979,-3.952829613
420.9758322,2.547321197,43.89170437,46.90202006,-3.97052539
421.9776971,2.45845417,43.68615124,48.92576772,-3.982540934
422.9862561,2.390768458,43.2236703,51.12742727,-3.988852722
424.0443566,2.323013173,42.32441229,53.64043261,-3.989176358
425.049176,2.235639075,41.73346956,55.67529977,-3.983524844
425.9819047,2.115596734,41.36519657,57.77688388,-3.973391841
